flight_date,departure_scheduled,departure_estimated,airline_name,flight_number,flight_iata,flight_icao,flight_status,departure_airport,departure_iata,departure_icao,departure_terminal,arrival_airport,arrival_iata,arrival_icao,arrival_scheduled,arrival_estimated
8/22/2021,2021-08-22T08:20:00+00:00,2021-08-22T08:20:00+00:00,Oman Air,5061,WY5061,OMA5061,active,Istanbul Airport,IST,LTFM,NA,Leonardo Da Vinci (Fiumicino),FCO,LIRF,2021-08-22T09:55:00+00:00,2021-08-22T09:55:00+00:00
8/22/2021,2021-08-22T14:50:00+00:00,2021-08-22T14:50:00+00:00,Air China LTD,8100,CA8100,CCA8100,scheduled,Shenyang,SHE,ZYTX,T3,Jinan,TNA,ZSJN,2021-08-22T16:35:00+00:00,2021-08-22T16:35:00+00:00
8/22/2021,2021-08-22T05:00:00+00:00,2021-08-22T05:00:00+00:00,Iberia,4715,IB4715,IBE4715,scheduled,San Francisco International,SFO,KSFO,1,Chicago O'hare International,ORD,KORD,2021-08-22T11:23:00+00:00,2021-08-22T11:23:00+00:00
8/22/2021,2021-08-22T12:00:00+00:00,2021-08-22T12:00:00+00:00,China Express Air,9351,G59351,HXA9351,active,Beijing Daxing International Airport,PKX,ZBAD,NA,Wenzhou,WNZ,ZSWZ,2021-08-22T14:30:00+00:00,2021-08-22T14:30:00+00:00
8/22/2021,2021-08-22T14:00:00+00:00,2021-08-22T14:00:00+00:00,China Express Air,6987,G56987,HXA6987,scheduled,Guiyang,KWE,ZUGY,NA,Xuzhou,XUZ,ZSXZ,2021-08-22T16:10:00+00:00,2021-08-22T16:10:00+00:00
8/22/2021,2021-08-22T13:10:00+00:00,2021-08-22T13:10:00+00:00,Nam Air,203,IN203,LKN203,scheduled,Ketapang,KTG,WIOK,NA,Achmad Yani,SRG,WAHS,2021-08-22T14:45:00+00:00,2021-08-22T14:45:00+00:00
8/22/2021,2021-08-22T15:00:00+00:00,2021-08-22T15:00:00+00:00,Xiamen Airlines,8135,MF8135,CXA8135,cancelled,Fuzhou,FOC,ZSFZ,NA,Xuzhou,XUZ,ZSXZ,2021-08-22T16:50:00+00:00,2021-08-22T16:50:00+00:00
8/22/2021,2021-08-22T15:30:00+00:00,2021-08-22T15:30:00+00:00,JAL,156,JL156,JAL156,scheduled,Misawa,MSJ,RJSM,NA,Haneda Airport,HND,RJTT,2021-08-22T16:55:00+00:00,2021-08-22T16:55:00+00:00
8/22/2021,2021-08-22T07:10:00+00:00,2021-08-22T07:10:00+00:00,TAP Air Portugal,6455,TP6455,TAP6455,active,Istanbul Airport,IST,LTFM,NA,Lisbon Portela,LIS,LPPT,2021-08-22T10:05:00+00:00,2021-08-22T10:05:00+00:00
8/22/2021,2021-08-22T09:10:00+00:00,2021-08-22T09:10:00+00:00,Air China LTD,6085,CA6085,CCA6085,scheduled,Frankfurt International Airport,FRA,EDDF,1,Halle,LEJ,EDDP,2021-08-22T10:05:00+00:00,2021-08-22T10:05:00+00:00
8/22/2021,2021-08-22T10:00:00+00:00,2021-08-22T10:00:00+00:00,Corendon Air,1702,XC1702,CAI1702,scheduled,Anadolu University,AOE,LTBY,NA,Cologne/bonn,CGN,EDDK,2021-08-22T12:25:00+00:00,2021-08-22T12:25:00+00:00
8/22/2021,2021-08-22T09:05:00+00:00,2021-08-22T09:05:00+00:00,TruJet,142,TRJ142,TRJ142,scheduled,Rajahmundry,RJA,VORY,NA,Hyderabad Airport,HYD,VOHS,2021-08-22T10:20:00+00:00,2021-08-22T10:20:00+00:00
8/22/2021,2021-08-22T01:00:00+00:00,2021-08-22T01:00:00+00:00,Azul,4891,AD4891,AZU4891,scheduled,Santa Genoveva,GYN,SBGO,NA,Palmas,PMW,SBPJ,2021-08-22T02:20:00+00:00,2021-08-22T02:20:00+00:00
8/22/2021,2021-08-22T12:25:00+00:00,2021-08-22T12:25:00+00:00,Trigana Air,7326,IL7326,TGN7326,scheduled,Wamena,WMX,WAJM,NA,Sentani,DJJ,WAJJ,2021-08-22T13:00:00+00:00,2021-08-22T13:00:00+00:00
8/22/2021,2021-08-22T11:30:00+00:00,2021-08-22T11:30:00+00:00,Sriwijaya Air,582,SJ582,SJY582,scheduled,Frans Kaisepo,BIK,WABB,NA,Sentani,DJJ,WAJJ,2021-08-22T12:40:00+00:00,2021-08-22T12:40:00+00:00
8/22/2021,2021-08-22T10:00:00+00:00,2021-08-22T10:00:00+00:00,Trigana Air,292,IL292,TGN292,scheduled,NA,ZRI,WABO,NA,Sentani,DJJ,WAJJ,2021-08-22T11:15:00+00:00,2021-08-22T11:15:00+00:00
8/22/2021,2021-08-22T11:45:00+00:00,2021-08-22T11:45:00+00:00,Nam Air,653,IN653,LKN653,active,Bima,BMU,WADB,NA,Lombok International,LOP,WADL,2021-08-22T12:25:00+00:00,2021-08-22T12:25:00+00:00
8/22/2021,2021-08-22T12:20:00+00:00,2021-08-22T12:20:00+00:00,Wings Air (Indonesia),1868,IW1868,WON1868,scheduled,Bima,BMU,WADB,NA,Hasanudin,UPG,WAAA,2021-08-22T13:10:00+00:00,2021-08-22T13:10:00+00:00
8/22/2021,2021-08-22T13:45:00+00:00,2021-08-22T13:45:00+00:00,Qantas,1555,QF1555,QFA1555,scheduled,Tullamarine,MEL,YMML,1,Hobart,HBA,YMHB,2021-08-22T15:00:00+00:00,2021-08-22T15:00:00+00:00
8/22/2021,2021-08-22T13:45:00+00:00,2021-08-22T13:45:00+00:00,Air New Zealand,7472,NZ7472,ANZ7472,scheduled,Tullamarine,MEL,YMML,1,Hobart,HBA,YMHB,2021-08-22T15:00:00+00:00,2021-08-22T15:00:00+00:00
8/22/2021,2021-08-22T13:20:00+00:00,2021-08-22T13:20:00+00:00,Qantas,618,QF618,QFA618,scheduled,Tullamarine,MEL,YMML,1,Brisbane International,BNE,YBBN,2021-08-22T15:30:00+00:00,2021-08-22T15:30:00+00:00
8/22/2021,2021-08-22T13:20:00+00:00,2021-08-22T13:20:00+00:00,Air New Zealand,7618,NZ7618,ANZ7618,scheduled,Tullamarine,MEL,YMML,1,Brisbane International,BNE,YBBN,2021-08-22T15:30:00+00:00,2021-08-22T15:30:00+00:00
8/22/2021,2021-08-22T13:20:00+00:00,2021-08-22T13:20:00+00:00,Emirates,5618,EK5618,UAE5618,scheduled,Tullamarine,MEL,YMML,1,Brisbane International,BNE,YBBN,2021-08-22T15:30:00+00:00,2021-08-22T15:30:00+00:00
8/22/2021,2021-08-22T13:10:00+00:00,2021-08-22T13:10:00+00:00,Jetstar,794,JQ794,JST794,cancelled,Tullamarine,MEL,YMML,4,Maroochydore,MCY,YBSU,2021-08-22T15:20:00+00:00,2021-08-22T15:20:00+00:00
8/22/2021,2021-08-22T13:10:00+00:00,2021-08-22T13:10:00+00:00,Qantas,5794,QF5794,QFA5794,cancelled,Tullamarine,MEL,YMML,4,Maroochydore,MCY,YBSU,2021-08-22T15:20:00+00:00,2021-08-22T15:20:00+00:00
8/22/2021,2021-08-22T13:10:00+00:00,2021-08-22T13:10:00+00:00,Virgin Australia,743,VA743,VOZ743,scheduled,Tullamarine,MEL,YMML,3,Gold Coast (coolangatta),OOL,YBCG,2021-08-22T15:15:00+00:00,2021-08-22T15:15:00+00:00
8/22/2021,2021-08-22T13:10:00+00:00,2021-08-22T13:10:00+00:00,Singapore Airlines,6606,SQ6606,SIA6606,scheduled,Tullamarine,MEL,YMML,3,Gold Coast (coolangatta),OOL,YBCG,2021-08-22T15:15:00+00:00,2021-08-22T15:15:00+00:00
8/22/2021,2021-08-22T08:00:00+00:00,2021-08-22T08:00:00+00:00,Silk Way West,673,7L673,AZG673,unknown,Heydar Aliyev International (Bina International),GYD,UBBB,NA,Kuala Lumpur International Airport (klia),KUL,WMKK,2021-08-22T20:30:00+00:00,2021-08-22T20:30:00+00:00
8/22/2021,2021-08-22T07:55:00+00:00,2021-08-22T07:55:00+00:00,AZAL Azerbaijan Airlines,125,J2125,AHY125,active,Heydar Aliyev International (Bina International),GYD,UBBB,1,Antalya,AYT,LTAI,2021-08-22T10:00:00+00:00,2021-08-22T10:00:00+00:00
8/22/2021,2021-08-22T07:45:00+00:00,2021-08-22T07:45:00+00:00,AZAL Azerbaijan Airlines,9903,J29903,AHY9903,active,Heydar Aliyev International (Bina International),GYD,UBBB,1,Sabiha Gokcen,SAW,LTFJ,2021-08-22T09:35:00+00:00,2021-08-22T09:35:00+00:00
8/22/2021,2021-08-22T07:30:00+00:00,2021-08-22T07:30:00+00:00,AZAL Azerbaijan Airlines,9911,J29911,AHY9911,active,Heydar Aliyev International (Bina International),GYD,UBBB,1,Gazipasa Airport,GZP,LTFG,2021-08-22T09:30:00+00:00,2021-08-22T09:30:00+00:00
8/22/2021,2021-08-22T07:30:00+00:00,2021-08-22T07:30:00+00:00,AZAL Azerbaijan Airlines,123,J2123,AHY123,active,Heydar Aliyev International (Bina International),GYD,UBBB,1,Milas,BJV,LTFE,2021-08-22T09:45:00+00:00,2021-08-22T09:45:00+00:00
8/22/2021,2021-08-22T10:30:00+00:00,2021-08-22T10:30:00+00:00,Sriwijaya Air,64,SJ64,SJY64,scheduled,Sultan Taha Syarifudn,DJB,WIJJ,NA,NA,KNO,WIMM,2021-08-22T12:05:00+00:00,2021-08-22T12:05:00+00:00
8/22/2021,2021-08-22T06:40:00+00:00,2021-08-22T06:40:00+00:00,Pegasus,2387,PC2387,PGT2387,active,Diyarbakir,DIY,LTCC,NA,Sabiha Gokcen,SAW,LTFJ,2021-08-22T08:35:00+00:00,2021-08-22T08:35:00+00:00
8/22/2021,2021-08-22T08:30:00+00:00,2021-08-22T08:30:00+00:00,Zagros Airlines,4022,ZO4022,IZG4022,scheduled,Kerman,KER,OIKK,NA,Mehrabad (Qualeh Morgeh),THR,OIII,2021-08-22T10:00:00+00:00,2021-08-22T10:00:00+00:00
8/22/2021,2021-08-22T06:30:00+00:00,2021-08-22T06:30:00+00:00,Pakistan International Airlines,9714,PK9714,PIA9714,scheduled,Mohammad Bin Abdulaziz,MED,OEMA,NA,Islamabad International,ISB,OPIS,2021-08-22T13:20:00+00:00,2021-08-22T13:20:00+00:00
8/22/2021,2021-08-22T09:30:00+00:00,2021-08-22T09:30:00+00:00,Sharp Airlines,432,SH432,SHA432,scheduled,Nepalganj,KEP,VNNG,NA,Tribhuvan International,KTM,VNKT,2021-08-22T10:15:00+00:00,2021-08-22T10:15:00+00:00
8/22/2021,2021-08-22T09:25:00+00:00,2021-08-22T09:25:00+00:00,Yeti Airlines,422,YT422,NYT422,scheduled,Nepalganj,KEP,VNNG,NA,Tribhuvan International,KTM,VNKT,2021-08-22T10:15:00+00:00,2021-08-22T10:15:00+00:00
8/22/2021,2021-08-22T12:40:00+00:00,2021-08-22T12:40:00+00:00,Shanghai Airlines,9505,FM9505,CSH9505,landed,Dongsheng,DSN,ZBDS,NA,Yinchuan,INC,ZLIC,2021-08-22T14:10:00+00:00,2021-08-22T14:10:00+00:00
8/22/2021,2021-08-22T10:15:00+00:00,2021-08-22T10:15:00+00:00,LOT - Polish Airlines,410,LO410,LOT410,scheduled,Düsseldorf International Airport,DUS,EDDL,NA,Frederic Chopin,WAW,EPWA,2021-08-22T12:05:00+00:00,2021-08-22T12:05:00+00:00
8/22/2021,2021-08-22T07:00:00+00:00,2021-08-22T07:00:00+00:00,Corendon Airlines Europe,4070,CXI4070,CXI4070,scheduled,Düsseldorf International Airport,DUS,EDDL,NA,Ioannis Kapodistrias,CFU,LGKR,2021-08-22T10:30:00+00:00,2021-08-22T10:30:00+00:00
8/22/2021,2021-08-22T12:50:00+00:00,2021-08-22T12:50:00+00:00,Wings Air (Indonesia),2920,IW2920,WON2920,scheduled,NA,TMC,WATK,NA,Eltari,KOE,WATT,2021-08-22T14:15:00+00:00,2021-08-22T14:15:00+00:00
8/22/2021,2021-08-22T14:55:00+00:00,2021-08-22T14:55:00+00:00,Nok Air,329,DD329,NOK329,scheduled,Muang Ubon,UBP,VTUU,NA,Don Muang,DMK,VTBD,2021-08-22T15:55:00+00:00,2021-08-22T15:55:00+00:00
8/22/2021,2021-08-22T08:40:00+00:00,2021-08-22T08:40:00+00:00,China Airlines,5521,CI5521,CAL5521,active,NA,DWC,OMDW,NA,Frankfurt International Airport,FRA,EDDF,2021-08-22T14:40:00+00:00,2021-08-22T14:40:00+00:00
8/22/2021,2021-08-22T07:10:00+00:00,2021-08-22T07:10:00+00:00,Turkish Airlines,1755,TK1755,THY1755,active,Istanbul Airport,IST,LTFM,NA,Lisbon Portela,LIS,LPPT,2021-08-22T10:05:00+00:00,2021-08-22T10:05:00+00:00
8/22/2021,2021-08-22T07:15:00+00:00,2021-08-22T07:15:00+00:00,AZAL Azerbaijan Airlines,6332,J26332,AHY6332,active,Istanbul Airport,IST,LTFM,NA,Heydar Aliyev International (Bina International),GYD,UBBB,2021-08-22T10:55:00+00:00,2021-08-22T10:55:00+00:00
8/22/2021,2021-08-22T06:00:00+00:00,2021-08-22T06:00:00+00:00,Virgin Atlantic,5894,VS5894,VIR5894,landed,Hanover Airport,HAJ,EDDV,A,Schiphol,AMS,EHAM,2021-08-22T07:00:00+00:00,2021-08-22T07:00:00+00:00
8/22/2021,2021-08-22T13:20:00+00:00,2021-08-22T13:20:00+00:00,Red Wings,1027,WZ1027,RWZ1027,scheduled,Koltsovo International,SVX,USSS,NA,Nizhniy Novgorod,GOJ,UWGG,2021-08-22T13:15:00+00:00,2021-08-22T13:15:00+00:00
8/22/2021,2021-08-22T08:10:00+00:00,2021-08-22T08:10:00+00:00,Air Tanzania,111,TC111,ATC111,scheduled,Mwanza,MWZ,HTMW,NA,Dar Es Salam International Airport,DAR,HTDA,2021-08-22T09:40:00+00:00,2021-08-22T09:40:00+00:00
8/22/2021,2021-08-22T06:15:00+00:00,2021-08-22T06:15:00+00:00,Shenzhen Airlines,1685,ZH1685,CSZ1685,active,Beijing Capital International,PEK,ZBAA,3,Mudanjiang,MDG,ZYMD,2021-08-22T08:35:00+00:00,2021-08-22T08:35:00+00:00
8/22/2021,2021-08-22T15:20:00+00:00,2021-08-22T15:20:00+00:00,Chongqing Airlines,2015,OQ2015,CQN2015,cancelled,Yancheng,YNZ,ZSYN,T2,Dayong,DYG,ZGDY,2021-08-22T17:25:00+00:00,2021-08-22T17:25:00+00:00
8/22/2021,2021-08-22T01:55:00+00:00,2021-08-22T01:55:00+00:00,Nile Air,5219,NP5219,NIA5219,landed,Borg el Arab,HBE,HEBA,NA,Cairo International Airport,CAI,HECA,2021-08-22T02:45:00+00:00,2021-08-22T02:45:00+00:00
8/22/2021,2021-08-22T12:30:00+00:00,2021-08-22T12:30:00+00:00,China Eastern Airlines,5429,MU5429,CES5429,scheduled,Shanghai Hongqiao International,SHA,ZSSS,2,Chongqing Jiangbei International,CKG,ZUCK,2021-08-22T15:15:00+00:00,2021-08-22T15:15:00+00:00
8/22/2021,2021-08-22T12:50:00+00:00,2021-08-22T12:50:00+00:00,Xiamen Airlines,3403,MF3403,CXA3403,cancelled,Xianyang,XIY,ZLXY,3,Qingdao,TAO,ZSQD,2021-08-22T15:10:00+00:00,2021-08-22T15:10:00+00:00
